"review","sentiment","reviewer","score","type","stay"
"Got red velvet surprised cake during breakfast, while actually in the beginning i did not intend to go for breakfast. It's really a nice cake. Great breakfast too. The hotel service is excellent. Great javanese hospitality...","Positive","Irsan B",5,"Traveled with family","January 2021"
"Had an amazing spa experience assisted by Mbak Hilda! In this pandemic era, my concern on going to spa places was the crowd, but in Gaharu they limit the customer (up to 2 person at a time) but I was lucky to be the only one that night. Mbak Hilda paid attention to every little detail, and make sure I was comfortable. The place itself was really great, I had all the treatments in just one room (except creambath). Will definitely recommend this experience to othersss <U+2728>","Positive","Nabila",5,"Traveled with family","December 2020"
"3 days of relaxing experience in hotel Tentrem. The hotel protocol of handling guess during covid-19 catastrophy is good. We spent a good evening in the executive lounge with excellent service from the staff hotel, Tika and Wahyu.","Positive","Rahmat M",5,"Traveled on business","December 2020"
"Aida - the receptionist - was very friendly and helpful when booking my appointment. Considering I was the last customer, Yunanik gave a very enjoyable and relaxing spa experience. Loved the traditional body scrub (a must try!) and massage.","Positive","Amanda K",5,"Traveled with family","December 2020"
"Arrived in this lovely hotel with my family..... planned to go out for dinner but ended up dining at the hotel instead. Luxurious and cozy ambiance, great service and hospitality.  Thanks to Melina and Aaz.<U+0001F44D>","Positive","ratnasnw",5,"Traveled with family","December 2020"
"Housekeeper mas lutfi dan bayu are so polite and professional in serving us and do thwir daily cleaning. Theyare also friendly and make us feel at home. I am so happy with their services. Stay healthy and happy mas lutfi dan bayu..","Positive","Arifah R",5,"Traveled with family","December 2020"
"Clean Room, Luxury Toilettries, Warm, nice and Humble Poeple, Delicious Food, Amazing facillities. And the very important thing;  there is a minimarket accross the building that open 24 hours. Just in case, you run out of the cigarette in the mid of the night. Hha","Positive","Y. Nugraha",5,"Traveled with family","December 2020"
"Hotel is clean and comfortable, the protocol for covid is also safe, good for staycation, it’s such a great time, the hospitality is on point especially for mba Aulia at sidomuncul gallery excelent service and friendly","Positive","alodia nadifa",5,"Traveled on business","November 2020"
"Services by the staffs at Executive Lounge were great. Thank u Wahyu, Tika, Melina. The food is also good the burrito, wonton etc. The executive suite also great. The receptionist and room attendance were also good","Positive","Titi Kanti Lestari",5,"Traveled with family","November 2020"
"Today (25/11) is my birthday. During my stay in Hotel Tentrem Yogyakarta, we were enjoying the evening in the Executive Lounge.   The hotel staffs, i.e., Tika, Wahyu and Aulia, certainly surprised me. They came with a special birthday tart and song!   It was very surprising and the hotel staffs knew how make the guest happy... Thanks a lot!!","Positive","Abdul Hadi Wijaya",5,"Traveled with family","November 2020"
"Hotel Tentrem has always been my favourite place to stay while in Jogja. The warm welcome always makes me want to return. The staff at the 8th floor lounge, Tika and Wahyu, were exceptionally friendly and helpful. Thumbs up. Breakfast selections are abundance especially the local cuisine, Gudeg, is delicious. Swimming pool is always clear especially during the pandemic - one has to make sure all the safety measurements are taken.  Gym facilities are top notch. The Sauna and the cold pool are perfect match for that Scandinavian style sauna.  So far all boxes are ticked with flying colours! I am hoping to return again to Hotel Tentrem in the bear future.","Positive","Josua Simanjuntak",5,"Traveled with family","November 2020"
"Serve by mr. AAS, good service , very well. We are family, so nice to see mr. AAS, and we of course want to come again to tentrem hotel in Yogjakarta and Semarang . 10 persons of my family so happy to stay here. The food so good, the ambience is so nice.","Positive","Hillarius H",5,"Traveled with family","November 2020"
"I have enjoyed spending my time during afternoon tea snd breskfast with the proffesional service of Tika,Anan and Wahyu. They always offer assistance. I believe the success of Tentrem Hotel lies in the professional staffs. Keep up the good work.","Positive","Riaz Saehu",5,"Traveled on business","November 2020"
"Not a new hotel. But still concerned with their reputation. Very well maintained. Great staffs. Great facilities. I like the breakfast variety menus. Warmest staffs. Helpful. Just feel like home. The location is great too.","Positive","David C",5,"Traveled with family","November 2020"
"Naomi their AFOM and Chef Afif are superb, they are extremely amazing with their best, to give a birth day surprise during our breakfast, naomi asking our stay as their courtesy to make sure we will come back. She is very genuine and funny,  she is listening our experience and note it and very open of critics and opinion,  Well done naomi, meanwhile their DM Aska & Boma try their best to fix our complaint with passion and patience. Natalia FO team and Tika Executive Lounge also Ajeng Restaurant team are vey nice, humble, genuine and fast response. The spa therapist (forgot her name) is very good.  Overall Tentrem always never fail to welcome us back and be our home in beautiful Jogjakarta.  Well done and congratulation Tentrem, you have the best asset of hospitality.  We love…","Positive","Roy W",5,"Traveled with family","November 2020"
"Nice and clean hotel. We're very satisfied with the outstanding service and meticulous Covid-19 protocol have very strict.  very recommended for family, the playground is big... located in the heart of yogyakarta.. staff so friendly. sure will go back next time..","Positive","Yuli V",5,"Traveled with family","November 2020"
"Good service by Melina and Aaz <U+0001F44D> Keep up the good and creative work and variations of food and beverages. My first time of trying different type of food and beverages contains Tolak angin, surprisingly taste good!","Positive","Blossom L",5,"Traveled with family","November 2020"
"I have lived in 6 different countries and have travelled a large amount of the world on either business and/or personal travel which has resulted in a lot of hotels stays. I currently live in Jakarta and been there for 2 years now and I was not disappointed the last time I stayed at Hotel Tentrem and once again I have received stellar service this time around. From the welcoming on arrival to the food, gym, executive lounge, and room, it was a great experience. I am not one to single out staff members as you have all excelled in your professional approach, welcoming kind nature, and can do attitude to make all guests feel special, but I did however receive superior service from Rizky who works in the Eboni Bar and Lounge. Please pass on my thanks to Rizky, as it was very much…","Positive","Simon",5,"Traveled on business","November 2020"
